+ACI-Feature+ACI-	+ACI-Value+ACI-
+ACI-origurl.www.carousel.org+ACI-	0
+ACI-origurl.www.antiwar.com+ACI-	0
+ACI-origurl.FlowSoft.com+ACI-	0
+ACI-origurl.kbell.charlie+ACI-	0
+ACI-origurl.www.likesbooks.com+ACI-	0
+ACI-origurl.labyrinth.9439+ACI-	0
+ACI-origurl.www.icsi.com+ACI-	0
+ACI-origurl.events.aprilfoolsday+ACI-	0
+ACI-origurl.tii.tii+ACI-	0
+ACI-origurl.athens.forum+ACI-	0
+ACI-origurl.library+ACI-	0
+ACI-origurl.valley+ACI-	0
+ACI-origurl.ics.ikenobo+ACI-	0
+ACI-origurl.unc.edu+ACI-	0
+ACI-origurl.kandin+ACI-	0
+ACI-origurl.bordeaux+ACI-	0
+ACI-origurl.charlie+ACI-	0
+ACI-origurl.6750.paws+ACI-	0
+ACI-origurl.cccats+ACI-	0
+ACI-origurl.linda.htm+ACI-	0
+ACI-origurl.2647.coltrane+ACI-	0
+ACI-origurl.vault.3440+ACI-	0
